"season","date","stadium","away_team","home_team","away_total_score","home_total_score","winner_side","winning_margin","margin_bucket"
"中職2024年","2024-09-24 18:35:00","新北市立新莊棒球場","中信兄弟","富邦悍將",1,7,"home",6,"4_plus_runs"
"中職2024年","2024-07-14 17:05:00","臺中市洲際棒球場","味全龍","中信兄弟",1,0,"away",1,"1_run"
"中職2024年","2024-09-07 17:05:00","澄清湖棒球場","富邦悍將","台鋼雄鷹",0,5,"home",5,"4_plus_runs"
"中職2024年","2024-08-11 17:05:00","新北市立新莊棒球場","味全龍","富邦悍將",11,6,"away",5,"4_plus_runs"
"中職2024年","2024-07-10 19:01:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",1,11,"home",10,"4_plus_runs"
"中職2024年","2024-05-19 17:05:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",4,3,"away",1,"1_run"
"中職2024年","2024-05-03 18:35:00","臺中市洲際棒球場","富邦悍將","中信兄弟",1,0,"away",1,"1_run"
"中職2024年","2024-08-31 17:06:00","樂天桃園棒球場","台鋼雄鷹","樂天桃猿",11,4,"away",7,"4_plus_runs"
"中職2024年","2024-06-10 17:00:00","臺南市立棒球場","樂天桃猿","統一7-ELEVEn獅",5,3,"away",2,"2_3_runs"
"中職2024年","2024-04-12 18:41:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",5,9,"home",4,"4_plus_runs"
"中職2024年","2024-09-15 17:05:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",5,6,"home",1,"1_run"
"中職2024年","2024-08-25 17:05:00","臺南市立棒球場","富邦悍將","統一7-ELEVEn獅",0,4,"home",4,"4_plus_runs"
"中職2024年","2024-06-07 18:30:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",13,2,"away",11,"4_plus_runs"
"中職2024年","2024-04-13 17:05:00","臺中市洲際棒球場","味全龍","中信兄弟",13,6,"away",7,"4_plus_runs"
"中職2024年","2024-05-23 18:36:00","澄清湖棒球場","中信兄弟","台鋼雄鷹",5,16,"home",11,"4_plus_runs"
"中職2024年","2024-05-11 17:06:00","新北市立新莊棒球場","中信兄弟","富邦悍將",0,3,"home",3,"2_3_runs"
"中職2024年","2024-05-01 18:18:00","澄清湖棒球場","統一7-ELEVEn獅","台鋼雄鷹",17,6,"away",11,"4_plus_runs"
"中職2024年","2024-08-04 17:05:00","臺北大巨蛋","富邦悍將","中信兄弟",5,6,"home",1,"1_run"
"中職2024年","2024-09-04 18:35:00","新北市立新莊棒球場","味全龍","富邦悍將",2,1,"away",1,"1_run"
"中職2024年","2024-07-06 17:06:00","樂天桃園棒球場","富邦悍將","樂天桃猿",3,10,"home",7,"4_plus_runs"
"中職2024年","2024-06-18 18:35:00","臺中市洲際棒球場","富邦悍將","中信兄弟",2,9,"home",7,"4_plus_runs"
"中職2024年","2024-10-09 18:35:00","樂天桃園棒球場","中信兄弟","樂天桃猿",5,4,"away",1,"1_run"
"中職2024年","2024-09-27 18:35:00","臺中市洲際棒球場","台鋼雄鷹","中信兄弟",6,5,"away",1,"1_run"
"中職2024年","2024-03-31 17:05:00","臺北大巨蛋","中信兄弟","味全龍",3,2,"away",1,"1_run"
"中職2024年","2024-07-13 17:05:00","澄清湖棒球場","樂天桃猿","台鋼雄鷹",5,0,"away",5,"4_plus_runs"
"中職2024年","2024-10-10 17:05:00","新北市立新莊棒球場","統一7-ELEVEn獅","富邦悍將",2,4,"home",2,"2_3_runs"
